repo,pr_number,status,arquivos_modificados,linhas_adicionadas,linhas_removidas,tempo_analise_horas,descricao_len,participantes,comentarios,review_comments,reviews
freeCodeCamp/freeCodeCamp,62732,merged,1,8,8,11.84,762,3,1,7,8
freeCodeCamp/freeCodeCamp,62708,merged,1,52,4,2.39,761,3,0,1,2
freeCodeCamp/freeCodeCamp,62706,merged,1,31,7,3.06,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62704,merged,1,13,1,3.32,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62703,merged,1,9,1,3.35,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62701,merged,1,14,2,3.38,763,3,0,0,2
freeCodeCamp/freeCodeCamp,62699,merged,1,9,1,3.4,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62698,merged,1,5,1,3.42,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62693,merged,1,9,1,2.13,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62690,merged,1,17,1,2.21,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62688,merged,1,19,3,4.95,761,3,0,2,3
freeCodeCamp/freeCodeCamp,62686,merged,1,9,1,2.4,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62684,merged,1,11,3,2.44,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62682,merged,1,33,8,2.46,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62679,merged,1,10,4,3.71,774,3,0,0,2
freeCodeCamp/freeCodeCamp,62676,merged,1,101,1,6.86,761,3,0,2,3
freeCodeCamp/freeCodeCamp,62674,merged,1,8,2,7.9,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62660,merged,1,1,1,2.39,761,3,1,0,2
freeCodeCamp/freeCodeCamp,62656,merged,1,16,40,12.21,761,3,0,2,3
freeCodeCamp/freeCodeCamp,62654,merged,1,29,4,1.92,761,3,0,3,3
freeCodeCamp/freeCodeCamp,62651,merged,1,31,2,1.17,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62648,merged,1,42,13,2.36,774,4,1,0,2
freeCodeCamp/freeCodeCamp,62647,merged,1,8,4,2.38,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62646,merged,1,34,10,2.4,761,3,0,1,3
freeCodeCamp/freeCodeCamp,62640,merged,2,25,5,9.0,972,3,0,0,2
freeCodeCamp/freeCodeCamp,62639,merged,1,76,11,3.9,761,3,0,0,2
freeCodeCamp/freeCodeCamp,62636,merged,1,1,1,9.95,901,3,0,0,2
freeCodeCamp/freeCodeCamp,62634,merged,1,26,15,3.06,761,2,1,0,1
freeCodeCamp/freeCodeCamp,62633,merged,1,1,1,1.75,850,3,0,0,2
freeCodeCamp/freeCodeCamp,62630,merged,1,51,7,3.43,761,2,0,0,1
freeCodeCamp/freeCodeCamp,62627,merged,1,47,11,4.07,761,2,0,0,1
freeCodeCamp/freeCodeCamp,62622,merged,2,8,6,2.0,1061,3,0,0,2
freeCodeCamp/freeCodeCamp,62621,merged,5,336,286,25.75,944,3,0,0,2
