nome,url,estrelas,forks,linguagem,total_prs
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,429711,41901,TypeScript,41005
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,424464,39810,Markdown,292
sindresorhus/awesome,https://github.com/sindresorhus/awesome,404818,31785,,2135
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,371547,64585,Python,10400
public-apis/public-apis,https://github.com/public-apis/public-apis,367510,38680,Python,2981
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,339621,43052,TypeScript,5431
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,330644,80834,,992
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,322030,52570,Python,334
996icu/996.ICU,https://github.com/996icu/996.ICU,274469,21043,,1910
vinta/awesome-python,https://github.com/vinta/awesome-python,262847,26392,Python,1574
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,250971,11624,,2986
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,245688,32129,,351
facebook/react,https://github.com/facebook/react,239485,49474,JavaScript,18030
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,209950,48436,Python,10473
vuejs/vue,https://github.com/vuejs/vue,209527,33792,TypeScript,2321
torvalds/linux,https://github.com/torvalds/linux,204173,58022,C,1230
ossu/computer-science,https://github.com/ossu/computer-science,194819,24293,HTML,468
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,193457,30901,JavaScript,547
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,191918,74902,C++,57699
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,188663,11640,,223
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,183446,33666,,877
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,182431,51251,,552
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,181819,26249,Shell,7304
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,178826,46003,Python,6269
microsoft/vscode,https://github.com/microsoft/vscode,177248,35355,TypeScript,43209
twbs/bootstrap,https://github.com/twbs/bootstrap,173491,79165,MDX,15491
flutter/flutter,https://github.com/flutter/flutter,173217,29294,Dart,65087
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,172971,54657,Jupyter Notebook,204
github/gitignore,https://github.com/github/gitignore,169829,83008,,4229
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,158382,14758,,467
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,157065,29154,Python,3192
avelino/awesome-go,https://github.com/avelino/awesome-go,153961,12618,Go,4756
ollama/ollama,https://github.com/ollama/ollama,153562,13330,Go,3560
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,152000,46002,Java,1495
huggingface/transformers,https://github.com/huggingface/transformers,150654,30648,Python,21786
airbnb/javascript,https://github.com/airbnb/javascript,147511,26785,JavaScript,1571
n8n-io/n8n,https://github.com/n8n-io/n8n,145506,46194,TypeScript,13946
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,138252,10509,Python,4341
f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,134931,17946,JavaScript,429
vercel/next.js,https://github.com/vercel/next.js,134836,29483,JavaScript,31087
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,130953,15889,TypeScript,556
golang/go,https://github.com/golang/go,130129,18422,Go,4301
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,129640,10389,Python,3694
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,129466,23445,Markdown,464
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,129305,12121,C,506
langflow-ai/langflow,https://github.com/langflow-ai/langflow,127720,7736,Python,6198
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,125434,12337,JavaScript,1631
microsoft/PowerToys,https://github.com/microsoft/PowerToys,124068,7392,C#,6566
facebook/react-native,https://github.com/facebook/react-native,124021,24855,C++,24325
electron/electron,https://github.com/electron/electron,118549,16487,C++,26248
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,117829,41475,Go,85173
krahets/hello-algo,https://github.com/krahets/hello-algo,117474,14463,Java,1196
langchain-ai/langchain,https://github.com/langchain-ai/langchain,116664,19204,Jupyter Notebook,15256
langgenius/dify,https://github.com/langgenius/dify,115758,17853,TypeScript,9077
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,115360,28358,,432
nodejs/node,https://github.com/nodejs/node,113570,33352,JavaScript,37410
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,113395,11617,HTML,3657
open-webui/open-webui,https://github.com/open-webui/open-webui,111634,15401,JavaScript,4488
d3/d3,https://github.com/d3/d3,111572,22845,Shell,1177
mrdoob/three.js,https://github.com/mrdoob/three.js,108840,36029,JavaScript,18334
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,108026,11052,TypeScript,4748
axios/axios,https://github.com/axios/axios,107839,11274,JavaScript,1802
rust-lang/rust,https://github.com/rust-lang/rust,106922,13813,Rust,85950
microsoft/TypeScript,https://github.com/microsoft/TypeScript,106259,13024,TypeScript,18252
denoland/deno,https://github.com/denoland/deno,104605,5729,Rust,16068
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,104230,10609,Dockerfile,927
facebook/create-react-app,https://github.com/facebook/create-react-app,103763,27130,JavaScript,3829
godotengine/godot,https://github.com/godotengine/godot,101812,23356,C++,46992
